#,"Register Name","Register Address","Field Name","Field Bit Position","Default Value",Property,"No Test","Read Data",Result
REGISTER,reg000,0x0000,,,,,,,
FIELD,,,reg000_f1,[31:30],2'b0,RO,,,
FIELD,,,reg000_f2,29,1,RO,,,
FIELD,,,reg000_f3,28,1,RO,,,
FIELD,,,reg000_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg001,0x00000008,,,,,,,
FIELD,,,reg001_f1,[31:28],4'b0,,,,
FIELD,,,reg001_f2,27,1'b0,,,,
FIELD,,,reg001_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg002,0x00000010,,,,,,,
FIELD,,,reg002_f1,[31:30],1'b1,RO,,,
FIELD,,,reg002_f2,[29:15],0,,,,
FIELD,,,reg002_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg003,0x00000018,,,,,,,
FIELD,,,reg003_f1,[31:16],1'b1,,,,
FIELD,,,reg003_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg004,0x00000020,,,,,,,
FIELD,,,reg004_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg005,0x00000028,,,,,,,
FIELD,,,reg005_f1,31,0,,,,
FIELD,,,reg005_f2,[28:26],2,,,,
FIELD,,,reg005_f3,[25:19],83,,,,
FIELD,,,reg005_f4,[18:6],3072,,,,
FIELD,,,reg005_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg006,0x00000030,,,,,,,
FIELD,,,reg006_f1,31,0,,,,
FIELD,,,reg006_f2,30,1,,,,
FIELD,,,reg006_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg007,0x00000038,,,,,,,
FIELD,,,reg007_f1,[31:24],0,WO,,,
FIELD,,,reg007_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg008,0x00000040,,,,,,,
FIELD,,,reg008_f1,[31:22],0,,,,
FIELD,,,reg008_f2,[21:12],0,,,,
FIELD,,,reg008_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg009,0x00000048,,,,,,,
FIELD,,,reg009_f1,31,1,,,,
FIELD,,,reg009_f2,30,1,,,,
FIELD,,,reg009_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg010,0x00000050,,,,,,,
FIELD,,,reg010_f1,[31:30],2'b0,RO,,,
FIELD,,,reg010_f2,29,1,RO,,,
FIELD,,,reg010_f3,28,1,RO,,,
FIELD,,,reg010_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg011,0x00000058,,,,,,,
FIELD,,,reg011_f1,[31:28],4'b0,,,,
FIELD,,,reg011_f2,27,1'b0,,,,
FIELD,,,reg011_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg012,0x00000060,,,,,,,
FIELD,,,reg012_f1,[31:30],1'b1,RO,,,
FIELD,,,reg012_f2,[29:15],0,,,,
FIELD,,,reg012_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg013,0x00000068,,,,,,,
FIELD,,,reg013_f1,[31:16],1'b1,,,,
FIELD,,,reg013_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg014,0x00000070,,,,,,,
FIELD,,,reg014_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg015,0x00000078,,,,,,,
FIELD,,,reg015_f1,31,0,,,,
FIELD,,,reg015_f2,[28:26],2,,,,
FIELD,,,reg015_f3,[25:19],83,,,,
FIELD,,,reg015_f4,[18:6],3072,,,,
FIELD,,,reg015_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg016,0x00000080,,,,,,,
FIELD,,,reg016_f1,31,0,,,,
FIELD,,,reg016_f2,30,1,,,,
FIELD,,,reg016_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg017,0x00000088,,,,,,,
FIELD,,,reg017_f1,[31:24],0,WO,,,
FIELD,,,reg017_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg018,0x00000090,,,,,,,
FIELD,,,reg018_f1,[31:22],0,,,,
FIELD,,,reg018_f2,[21:12],0,,,,
FIELD,,,reg018_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg019,0x00000098,,,,,,,
FIELD,,,reg019_f1,31,1,,,,
FIELD,,,reg019_f2,30,1,,,,
FIELD,,,reg019_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg020,0x000000a0,,,,,,,
FIELD,,,reg020_f1,[31:30],2'b0,RO,,,
FIELD,,,reg020_f2,29,1,RO,,,
FIELD,,,reg020_f3,28,1,RO,,,
FIELD,,,reg020_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg021,0x000000a8,,,,,,,
